(ompn) nightless@nightless-computer:~/Desktop/ompn$ ./tune_task_compile.sh 
Running study for task: wsws_static_symbolic
No study file found. Starting a new study.
[I 2025-05-23 20:40:20,746] A new study created in memory with name: no-name-3485e4fb-dea6-4972-9fe7-44e1a7e07d53
Task: wsws_static_symbolic
State size: 1087
Action size: 17
Max segments: 4
Skills: 2
[I 2025-05-23 20:44:09,558] Trial 0 finished with value: 0.37148 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 0 with value: 0.37148.
[I 2025-05-25 15:32:51,043] Trial 105 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 15:55:17,086] Trial 106 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 16:17:45,025] Trial 107 finished with value: 0.99724 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 16:40:13,224] Trial 108 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 16:50:21,444] Trial 109 finished with value: 0.38028 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-25 17:03:04,691] Trial 110 finished with value: 0.45002000000000003 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 17:13:15,200] Trial 111 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-25 17:35:42,463] Trial 112 finished with value: 0.99724 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 17:45:54,806] Trial 113 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-25 18:08:19,689] Trial 114 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 18:30:47,985] Trial 115 finished with value: 0.39268000000000003 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 18:53:15,397] Trial 116 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 18:55:39,350] Trial 117 finished with value: 0.46990000000000004 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 18:59:42,204] Trial 118 finished with value: 0.9747200000000001 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-25 19:21:52,681] Trial 119 finished with value: 0.34258 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 19:33:20,655] Trial 120 finished with value: 0.40032 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-25 19:55:49,946] Trial 121 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 20:18:12,186] Trial 122 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 20:40:33,576] Trial 123 finished with value: 0.49898000000000003 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 21:03:01,750] Trial 124 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 21:25:31,276] Trial 125 finished with value: 0.51632 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 21:29:05,834] Trial 126 finished with value: 0.8075000000000001 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 0.01, 'compile_prior_rate': 15, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-25 21:41:48,938] Trial 127 finished with value: 0.6714800000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 21:54:30,613] Trial 128 finished with value: 0.52528 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 22:07:07,805] Trial 129 finished with value: 0.5854600000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 22:19:52,336] Trial 130 finished with value: 0.35350000000000004 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 1.0, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 22:42:19,184] Trial 131 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 23:04:29,796] Trial 132 finished with value: 0.54244 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 23:26:13,809] Trial 133 finished with value: 0.53936 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 23:48:40,836] Trial 134 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-26 00:11:10,503] Trial 135 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-26 00:32:44,960] Trial 136 finished with value: 0.99724 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-26 01:26:15,866] Trial 137 finished with value: 0.39966 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 512}. Best is trial 10 with value: 1.0.
[I 2025-05-26 01:32:52,391] Trial 138 finished with value: 0.9963600000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-26 01:55:16,615] Trial 139 finished with value: 0.99766 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-26 02:17:44,401] Trial 140 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-26 02:40:13,136] Trial 141 finished with value: 0.45818000000000003 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-26 03:23:58,168] Trial 142 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-26 03:46:26,914] Trial 143 finished with value: 0.99724 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-26 04:28:10,330] Trial 144 finished with value: 0.7944800000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-26 05:11:52,813] Trial 145 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-26 05:24:14,005] Trial 146 finished with value: 0.35080000000000006 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-26 06:07:58,380] Trial 147 finished with value: 0.72368 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-26 06:51:43,720] Trial 148 finished with value: 0.8780600000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-26 07:35:27,625] Trial 149 finished with value: 0.47450000000000003 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
Study for task wsws_static_symbolic_big completed.
Running study for task: wsws_static_pixels
No study file found. Starting a new study.
[I 2025-05-26 07:35:28,589] A new study created in memory with name: no-name-8c0b5510-73b9-4d2c-8495-1ef635183c9d
Task: wsws_static_pixels
State size: 300
Action size: 17
Max segments: 4
Skills: 2
[I 2025-05-26 07:37:47,729] Trial 0 finished with value: 0.47478000000000004 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 64, 'compile_beta_z': 1.0, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 0 with value: 0.47478000000000004.
[I 2025-05-26 07:41:22,876] Trial 1 finished with value: 0.35530000000000006 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.1, 'compile_prior_rate': 10, 'hidden_size': 512}. Best is trial 0 with value: 0.47478000000000004.
[I 2025-05-26 07:45:15,385] Trial 2 finished with value: 0.38304000000000005 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.1, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 15, 'hidden_size': 128}. Best is trial 0 with value: 0.47478000000000004.
[I 2025-05-26 08:20:19,515] Trial 3 finished with value: 0.42464 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 0 with value: 0.47478000000000004.
[I 2025-05-26 08:29:09,214] Trial 4 finished with value: 0.32224 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 1.0, 'compile_prior_rate': 15, 'hidden_size': 256}. Best is trial 0 with value: 0.47478000000000004.
[I 2025-05-26 08:35:56,285] Trial 5 finished with value: 0.38311999999999996 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 10, 'hidden_size': 128}. Best is trial 0 with value: 0.47478000000000004.
[I 2025-05-26 08:36:40,714] Trial 6 finished with value: 0.53532 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 6 with value: 0.53532.
[I 2025-05-26 08:37:25,243] Trial 7 finished with value: 0.48276 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 6 with value: 0.53532.
[I 2025-05-26 08:38:56,877] Trial 8 finished with value: 0.34134000000000003 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 1.0, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 6 with value: 0.53532.
[I 2025-05-26 08:43:03,388] Trial 9 finished with value: 0.39492000000000005 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 15, 'hidden_size': 128}. Best is trial 6 with value: 0.53532.
[I 2025-05-26 08:43:33,152] Trial 10 finished with value: 0.48524 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 6 with value: 0.53532.
[I 2025-05-26 08:44:02,856] Trial 11 finished with value: 0.50162 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 6 with value: 0.53532.
[I 2025-05-26 08:44:32,559] Trial 12 finished with value: 0.5108400000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 6 with value: 0.53532.
[I 2025-05-26 08:45:02,317] Trial 13 finished with value: 0.5482800000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 13 with value: 0.5482800000000001.
[I 2025-05-26 08:45:31,980] Trial 14 finished with value: 0.5032200000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 13 with value: 0.5482800000000001.
[I 2025-05-26 08:46:01,128] Trial 15 finished with value: 0.43114 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.1, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 13 with value: 0.5482800000000001.
[I 2025-05-26 08:47:33,050] Trial 16 finished with value: 0.4727 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 13 with value: 0.5482800000000001.
[I 2025-05-26 08:49:45,895] Trial 17 finished with value: 0.4615 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 13 with value: 0.5482800000000001.
[I 2025-05-26 08:53:50,232] Trial 18 finished with value: 0.33690000000000003 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 10, 'hidden_size': 128}. Best is trial 13 with value: 0.5482800000000001.
[I 2025-05-26 08:58:05,353] Trial 19 finished with value: 0.35662 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.1, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 15, 'hidden_size': 64}. Best is trial 13 with value: 0.5482800000000001.
[I 2025-05-26 08:58:32,742] Trial 20 finished with value: 0.47576 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 13 with value: 0.5482800000000001.
[I 2025-05-26 08:59:02,440] Trial 21 finished with value: 0.5195000000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 13 with value: 0.5482800000000001.
[I 2025-05-26 08:59:32,109] Trial 22 finished with value: 0.48360000000000003 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 13 with value: 0.5482800000000001.
[I 2025-05-26 09:00:01,797] Trial 23 finished with value: 0.4959 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 13 with value: 0.5482800000000001.
[I 2025-05-26 09:00:31,457] Trial 24 finished with value: 0.4804400000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 13 with value: 0.5482800000000001.
[I 2025-05-26 09:01:01,140] Trial 25 finished with value: 0.5500600000000001 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:04:39,618] Trial 26 finished with value: 0.48463999999999996 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:19:15,110] Trial 27 finished with value: 0.32142000000000004 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 0.1, 'compile_beta_b': 0.5, 'compile_prior_rate': 15, 'hidden_size': 256}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:21:05,088] Trial 28 finished with value: 0.48894 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:21:49,251] Trial 29 finished with value: 0.47672000000000003 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.1, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 128}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:24:10,846] Trial 30 finished with value: 0.41026 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 64, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:24:40,552] Trial 31 finished with value: 0.52258 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:25:10,204] Trial 32 finished with value: 0.46402000000000004 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:25:39,955] Trial 33 finished with value: 0.48252 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:26:09,604] Trial 34 finished with value: 0.5023 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:29:45,647] Trial 35 finished with value: 0.39948000000000006 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:34:06,134] Trial 36 finished with value: 0.28708 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 1.0, 'compile_prior_rate': 15, 'hidden_size': 64}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:34:50,577] Trial 37 finished with value: 0.36332 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.5, 'compile_prior_rate': 10, 'hidden_size': 128}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 09:36:21,432] Trial 38 finished with value: 0.44964000000000004 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.1, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 10:11:59,657] Trial 39 finished with value: 0.47074000000000005 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 25 with value: 0.5500600000000001.
[I 2025-05-26 10:14:21,766] Trial 40 finished with value: 0.34842 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 10, 'hidden_size': 128}. Best is trial 25 with value: 0.5500600000000001.
